Column1,id,symbol,type,interval,amount,startDate,endDate,Column2,buy,sell,growth/drop,closed,high,low,Volume,RSI,BTC,coin,V-BTC,V-B,V-C,status,sell_zscore
142,f0519eef-8d39-11ec-bb75-f4d1080d95a2,PORTOUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 6:00,0.166666667,3.7593,3.7789,0.52137366,TRUE,3.7789,3.732,2330.29,46.52644466,-0.041732231,-0.018620488,2330.29,-271.8110399,-458.254552,FALSE,0
165,1433dbdc-8d3a-11ec-b443-f4d1080d95a2,PSGUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,17.89,17.98,0.503074343,TRUE,17.98,17.84,3251.17,48.12255387,-0.041732231,-0.391280045,3251.17,-271.8110399,-63.53497356,FALSE,0
116,dddca640-8d39-11ec-94c9-f4d1080d95a2,ZECUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 6:45,0.197916667,115.3,115.9,0.520381613,TRUE,115.9,112.5,3830.471,41.21843761,-0.041732231,0.173460538,3830.471,-271.8110399,-32.95994148,FALSE,0
163,0b507f3c-8d3a-11ec-871b-f4d1080d95a2,POLSUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,1.64,1.651,0.670731707,TRUE,1.651,1.638,4051,25.84955674,-0.041732231,-0.06097561,4051,-271.8110399,-411.6909405,FALSE,0
160,07a656f7-8d3a-11ec-87f5-f4d1080d95a2,CTKUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:30,0.020833333,1.218,1.225,0.574712644,TRUE,1.225,1.217,4372.2,30.97506535,-0.041732231,0,4372.2,-271.8110399,-223.4252779,FALSE,0
124,e464bf2b-8d39-11ec-ada6-f4d1080d95a2,NEOUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,21.06,21.17,0.522317189,TRUE,21.17,20.99,4832.65,32.93995973,-0.041732231,-0.189933523,4832.65,-271.8110399,-144.9790488,FALSE,0
126,e5184372-8d39-11ec-bce5-f4d1080d95a2,TOMOUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:15,0.052083333,1.108,1.114,0.541516245,TRUE,1.114,1.097,5278.1,30.22056261,-0.041732231,-0.090252708,5278.1,-271.8110399,-744.9290464,FALSE,0
169,24ef94c7-8d3a-11ec-9a18-f4d1080d95a2,KMDUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 13:00,0.458333333,0.5041,0.5086,0.892680024,TRUE,0.5086,0.4933,8143,37.56686301,-0.041732231,-0.019837334,8143,-271.8110399,-10.49981579,FALSE,0
162,0b0470ac-8d3a-11ec-9301-f4d1080d95a2,FLMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.2366,0.2378,0.507185123,TRUE,0.2378,0.2366,12795,27.43350887,-0.041732231,-0.042265427,12795,-271.8110399,-519.8280578,FALSE,0
149,f2b17359-8d39-11ec-87ad-f4d1080d95a2,1INCHUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:45,0.072916667,1.634,1.643,0.550795594,TRUE,1.643,1.621,12958,34.83662554,-0.041732231,0.06119951,12958,-271.8110399,-1000.118074,FALSE,0
153,f852dffa-8d39-11ec-b3a3-f4d1080d95a2,BELUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,0.856,0.861,0.58411215,TRUE,0.861,0.849,17084.8,23.10186629,-0.041732231,-0.23364486,17084.8,-271.8110399,-176.0962961,FALSE,0
112,da8bf821-8d39-11ec-920d-f4d1080d95a2,SOLUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,91.14,91.62,0.526662278,TRUE,91.62,91.04,17985.3,33.21701025,-0.041732231,0.032916392,17985.3,-271.8110399,-116.1500225,FALSE,0
122,e1ce43c6-8d39-11ec-9ddb-f4d1080d95a2,SFPUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,0.7492,0.7539,0.627335825,TRUE,0.7539,0.7415,18848,31.5148639,-0.041732231,0.120128137,18848,-271.8110399,-298.2067063,FALSE,0
172,4ba5fe9b-8d3a-11ec-8a09-f4d1080d95a2,POLYUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:15,0.052083333,0.4151,0.4174,0.554083353,TRUE,0.4174,0.4134,18887.1,26.08907077,-0.041732231,-0.40953987,18887.1,-271.8110399,-277.9532062,FALSE,0
155,fadca6c4-8d39-11ec-aa63-f4d1080d95a2,TWTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,0.5257,0.5285,0.532623169,TRUE,0.5285,0.5254,20421,21.78321197,-0.041732231,-0.057066768,20421,-271.8110399,-304.8430537,FALSE,0
114,dd376f4f-8d39-11ec-9ad6-f4d1080d95a2,STXUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 8:00,0.25,1.412,1.42,0.566572238,TRUE,1.42,1.397,20574.7,21.42646728,-0.041732231,-0.141643059,20574.7,-271.8110399,-183.2289171,FALSE,0
152,f8022866-8d39-11ec-b15c-f4d1080d95a2,AMPUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 12:00,0.416666667,0.03021,0.02929,-3.045349222,TRUE,0.03024,0.02929,20685,46.97771654,-0.041732231,0.099304866,20685,-271.8110399,-1498.598018,FALSE,0
120,e12cbc40-8d39-11ec-9600-f4d1080d95a2,UNFIUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,4.867,4.892,0.513663448,TRUE,4.892,4.853,21597.5,29.52933465,-0.041732231,0,21597.5,-271.8110399,-21.53443686,FALSE,0
129,ebc5b576-8d39-11ec-946a-f4d1080d95a2,JUVUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,7.74,7.5,-3.100775194,TRUE,7.74,7.5,22123.84,68.80502033,-0.041732231,-1.162790698,22123.84,-271.8110399,-127.6799145,TRUE,0
141,f009128f-8d39-11ec-b7b2-f4d1080d95a2,HARDUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 13:00,0.458333333,0.5796,0.5826,0.517598344,TRUE,0.5826,0.5727,28450,37.09596001,-0.041732231,0.034506556,28450,-271.8110399,-9.128295255,FALSE,0
107,d720500d-8d39-11ec-8b11-f4d1080d95a2,ATOMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,25.8,25.94,0.542635659,TRUE,25.94,25.74,29046.18,34.98313507,-0.041732231,0.19379845,29046.18,-271.8110399,-217.0726409,FALSE,0
145,f1681777-8d39-11ec-a0be-f4d1080d95a2,SUSHIUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,3.982,4.003,0.527373179,TRUE,4.003,3.977,32012.4,34.20301175,-0.041732231,-0.150678051,32012.4,-271.8110399,-167.7062638,FALSE,0
125,e4b49779-8d39-11ec-ba7c-f4d1080d95a2,ZRXUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 5:00,0.125,0.5898,0.5929,0.525601899,TRUE,0.5929,0.5836,32444,24.87081593,-0.041732231,-0.0339098,32444,-271.8110399,-58.56552829,FALSE,0
123,e3fbf552-8d39-11ec-a0d2-f4d1080d95a2,LINKUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,15.29,15.37,0.523217789,TRUE,15.37,15.28,36434.3,28.64571144,-0.041732231,0.065402224,36434.3,-271.8110399,-257.7145986,FALSE,0
156,fcbd2055-8d39-11ec-bb8f-f4d1080d95a2,LTOUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 5:00,0.125,0.2324,0.234,0.688468158,TRUE,0.234,0.2299,37685,36.47375243,-0.041732231,0.04302926,37685,-271.8110399,-377.3968422,FALSE,0
133,ed449bf8-8d39-11ec-854e-f4d1080d95a2,RENUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.34,0.3421,0.617647059,TRUE,0.3421,0.3387,39877,32.22425569,-0.041732231,0.029411765,39877,-271.8110399,-361.1806304,FALSE,0
104,d60e7a32-8d39-11ec-ba90-f4d1080d95a2,XTZUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,3.754,3.773,0.506126798,TRUE,3.773,3.75,40839.9,25.65112656,-0.041732231,-0.133191263,40839.9,-271.8110399,-204.9057417,FALSE,0
147,f2094a8d-8d39-11ec-99e9-f4d1080d95a2,FLOWUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,6.79,6.83,0.58910162,TRUE,6.83,6.77,41396.13,26.89951525,-0.041732231,-0.147275405,41396.13,-271.8110399,-17.68696736,FALSE,0
170,382506ae-8d3a-11ec-a1bf-f4d1080d95a2,ALPACAUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 7:30,0.229166667,0.3718,0.3737,0.511027434,TRUE,0.3737,0.3712,62686.8,40.46519073,-0.041732231,-0.107584723,62686.8,-271.8110399,33.59798235,FALSE,0
103,d5c40b6b-8d39-11ec-b793-f4d1080d95a2,C98USDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,1.57,1.578,0.50955414,TRUE,1.578,1.565,70077.5,26.60508165,-0.041732231,0.25477707,70077.5,-271.8110399,-157.330955,FALSE,0
121,e181a24b-8d39-11ec-86b7-f4d1080d95a2,CVCUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,0.2739,0.2763,0.876232202,TRUE,0.2763,0.2711,71553,31.55790785,-0.041732231,0.182548375,71553,-271.8110399,-217.8049837,FALSE,0
150,f30390dd-8d39-11ec-94d8-f4d1080d95a2,MBOXUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,2.792,2.806,0.501432665,TRUE,2.806,2.784,72255.1,27.40756455,-0.041732231,0.035816619,72255.1,-271.8110399,-147.0723866,FALSE,0
134,eda11470-8d39-11ec-8bf0-f4d1080d95a2,SYSUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,0.7928,0.7968,0.504540868,TRUE,0.7968,0.7895,76717,40.84669073,-0.041732231,-0.012613522,76717,-271.8110399,-66.04403196,FALSE,0
154,f904dad0-8d39-11ec-a950-f4d1080d95a2,POWRUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:15,0.052083333,0.55,0.5531,0.563636364,TRUE,0.5531,0.5439,86504,20.14531276,-0.041732231,-0.618181818,86504,-271.8110399,-134.2908998,FALSE,0
108,d94ff238-8d39-11ec-8a86-f4d1080d95a2,ENJUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,1.69,1.701,0.650887574,TRUE,1.701,1.688,88425.9,31.20194553,-0.041732231,-0.059171598,88425.9,-271.8110399,-163.9025444,FALSE,0
119,e0bd7b86-8d39-11ec-b232-f4d1080d95a2,ANTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,5.511,5.542,0.562511341,TRUE,5.542,5.501,103897.9,25.55307485,-0.041732231,-0.290328434,103897.9,-271.8110399,-20.8997487,FALSE,0
138,eeff2c10-8d39-11ec-a3a9-f4d1080d95a2,ALGOUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.8772,0.8819,0.535795714,TRUE,0.8819,0.8758,140945,28.14263997,-0.041732231,0.011399909,140945,-271.8110399,-395.7075455,FALSE,0
115,dd8afc51-8d39-11ec-a595-f4d1080d95a2,ALPHAUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,0.3636,0.3655,0.522552255,TRUE,0.3655,0.3624,141474,20.53304833,-0.041732231,-0.055005501,141474,-271.8110399,-199.6402166,FALSE,0
135,ede92dc6-8d39-11ec-96ea-f4d1080d95a2,OMGUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,4.5,4.524,0.533333333,TRUE,4.524,4.486,147325.2,31.41416337,-0.041732231,-0.111111111,147325.2,-271.8110399,-68.42325685,FALSE,0
110,d9f1b31d-8d39-11ec-a78f-f4d1080d95a2,BATUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,0.7766,0.7807,0.527942313,TRUE,0.7807,0.7744,160702,29.93642165,-0.041732231,-0.128766418,160702,-271.8110399,-54.66640116,FALSE,0
168,17caba4e-8d3a-11ec-802d-f4d1080d95a2,NBSUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:30,0.020833333,0.01149,0.01161,1.044386423,TRUE,0.01161,0.01147,169784.3,31.35038085,-0.041732231,0,169784.3,-271.8110399,-1459.473108,FALSE,0
127,e564b272-8d39-11ec-ba89-f4d1080d95a2,IDEXUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.18108,0.18202,0.519107577,TRUE,0.18202,0.1806,183612.2,40.33279586,-0.041732231,-0.038656947,183612.2,-271.8110399,-126.9471201,FALSE,0
130,ec2b1c66-8d39-11ec-8886-f4d1080d95a2,OXTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.2672,0.2686,0.523952096,TRUE,0.2686,0.2672,193016,33.28907569,-0.041732231,0.112275449,193016,-271.8110399,-118.7906702,FALSE,0
128,eb68547a-8d39-11ec-9175-f4d1080d95a2,TVKUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:30,0.020833333,0.1218,0.1225,0.574712644,TRUE,0.1225,0.1217,222605,23.49864428,-0.041732231,-0.492610837,222605,-271.8110399,-57.72287235,FALSE,0
136,ee35767c-8d39-11ec-9eac-f4d1080d95a2,CHZUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.1968,0.1978,0.508130081,TRUE,0.1978,0.1966,340127,28.48397214,-0.041732231,-0.050813008,340127,-271.8110399,-530.9596121,FALSE,0
131,ec94e3ed-8d39-11ec-96ec-f4d1080d95a2,BLZUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.1897,0.1907,0.527148129,TRUE,0.1907,0.189,424402,24.30429536,-0.041732231,0.263574064,424402,-271.8110399,-80.09599389,FALSE,0
100,d2eab72d-8d39-11ec-9db6-f4d1080d95a2,SANDUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,3.9222,3.9419,0.502269135,TRUE,3.9419,3.9136,432671,28.57261903,-0.041732231,0.056090969,432671,-271.8110399,-180.8919479,FALSE,0
113,dcbc435f-8d39-11ec-bba3-f4d1080d95a2,BETAUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,0.5192,0.50351,-3.021956857,TRUE,0.52016,0.50351,483580,58.53048589,-0.041732231,-0.350539291,483580,-271.8110399,-99.01919021,FALSE,0
132,ecea8a5f-8d39-11ec-afcd-f4d1080d95a2,WAXPUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.3177,0.3193,0.503619767,TRUE,0.3193,0.3172,656427,24.1444164,-0.041732231,-0.220333648,656427,-271.8110399,36.1775186,FALSE,0
146,f1bc4010-8d39-11ec-b0bf-f4d1080d95a2,TFUELUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:45,0.072916667,0.1882,0.1892,0.531349628,TRUE,0.1892,0.1856,685190,27.54164326,-0.041732231,-0.212539851,685190,-271.8110399,-184.9962784,FALSE,0
166,16515b91-8d3a-11ec-b607-f4d1080d95a2,FUNUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 7:45,0.239583333,0.0105,0.01056,0.571428571,TRUE,0.01056,0.01049,756402,31.77511318,-0.041732231,0.095238095,756402,-271.8110399,40.0263352,FALSE,0
117,de2759a0-8d39-11ec-82ad-f4d1080d95a2,FTMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,1.835,1.8442,0.501362398,TRUE,1.8442,1.8305,869765,27.66109424,-0.041732231,-0.125340599,869765,-271.8110399,-203.469098,FALSE,0
157,0162d75d-8d3a-11ec-ba86-f4d1080d95a2,BTSUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.02285,0.02302,0.743982495,TRUE,0.02302,0.02284,1058150.2,29.11380971,-0.041732231,0,1058150.2,-271.8110399,-161.2075677,FALSE,0
139,ef549d56-8d39-11ec-aa95-f4d1080d95a2,CELRUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.04652,0.04676,0.515907137,TRUE,0.04676,0.04638,1874322.4,28.21197821,-0.041732231,0.193465176,1874322.4,-271.8110399,-428.9220947,FALSE,0
98,d240ffd9-8d39-11ec-b0a7-f4d1080d95a2,ADAUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,1.021,1.027,0.587659158,TRUE,1.027,1.019,1963959.2,29.77943175,-0.041732231,-0.293829579,1963959.2,-271.8110399,-203.7226843,FALSE,0
118,e05de9be-8d39-11ec-9eea-f4d1080d95a2,DGBUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.02233,0.02245,0.537393641,TRUE,0.02245,0.0223,2443057.1,25.63706609,-0.041732231,0.044782803,2443057.1,-271.8110399,-201.2372981,FALSE,0
151,f77764aa-8d39-11ec-86dc-f4d1080d95a2,TLMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.1196,0.1202,0.501672241,TRUE,0.1202,0.1194,2562324,28.37194324,-0.041732231,0.25083612,2562324,-271.8110399,-82.34805591,FALSE,0
111,da3a91c2-8d39-11ec-ad33-f4d1080d95a2,IOSTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,0.02493,0.02506,0.521460088,TRUE,0.02506,0.02466,2643755,26.13928242,-0.041732231,0,2643755,-271.8110399,-229.5626108,FALSE,0
143,f0c6bc95-8d39-11ec-a125-f4d1080d95a2,PONDUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.04175,0.04197,0.526946108,TRUE,0.04197,0.04166,2761789.73,21.12171328,-0.041732231,-0.598802395,2761789.73,-271.8110399,-68.21102887,FALSE,0
97,d1f2ca28-8d39-11ec-aa6c-f4d1080d95a2,XRPUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.7852,0.7895,0.547631177,TRUE,0.7895,0.7835,3785605,29.76189017,-0.041732231,-0.241976566,3785605,-271.8110399,-154.1363402,FALSE,0
109,d9a828ac-8d39-11ec-be90-f4d1080d95a2,KEYUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.007993,0.008038,0.562992619,TRUE,0.008038,0.007993,5431065,49.1402746,-0.041732231,-0.037532841,5431065,-271.8110399,-99.67339739,FALSE,0
102,d394ed64-8d39-11ec-acd0-f4d1080d95a2,VETUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.05561,0.0559,0.521488941,TRUE,0.0559,0.05544,7164010.4,39.55642361,-0.041732231,0.251753282,7164010.4,-271.8110399,-244.7465529,FALSE,0
101,d3424974-8d39-11ec-9837-f4d1080d95a2,SUNUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:00,0.041666667,0.0162,0.01645,1.543209877,TRUE,0.01645,0.01618,12624087,46.81196402,-0.041732231,0.061728395,12624087,-271.8110399,-8.951467144,TRUE,0
106,d6b7752a-8d39-11ec-b717-f4d1080d95a2,DOGEUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.1453,0.1461,0.550584997,TRUE,0.1461,0.145,18653708,32.61029811,-0.041732231,0,18653708,-271.8110399,-178.92218,FALSE,0
99,d2962d97-8d39-11ec-80bc-f4d1080d95a2,SLPUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,0.0292,0.0294,0.684931507,TRUE,0.0294,0.029,108873713,42.69330946,-0.041732231,0.342465753,108873713,-271.8110399,-41.21388236,FALSE,0
971,e5b1420d-8d7c-11ec-8191-f4d1080d95a2,FTTUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 11:30,0.0625,43.63,43.85,0.504240202,TRUE,43.85,43.5,1788.09,43.81321606,0.020350867,-0.022920009,1788.09,-130.7705529,-98.79312563,FALSE,0
979,edb21178-8d7c-11ec-9b3e-f4d1080d95a2,POLYUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:00,0,0.4154,0.4179,0.601829562,TRUE,0.4179,0.4146,3511,40.76681777,0.020350867,0.024073182,3511,-130.7705529,-369.1768727,FALSE,0
974,e6de7240-8d7c-11ec-9d0e-f4d1080d95a2,ZRXUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 12:45,0.114583333,0.5855,0.5887,0.546541418,TRUE,0.5887,0.5784,3897,38.39622359,0.020350867,-0.119555935,3897,-130.7705529,-285.6556325,FALSE,0
969,e4f4e25e-8d7c-11ec-9a87-f4d1080d95a2,ANTUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:00,0,5.586,5.622,0.644468314,TRUE,5.622,5.573,6086.7,50.47569303,0.020350867,0.053705693,6086.7,-130.7705529,-89.44912678,FALSE,0
991,f81b46a3-8d7c-11ec-ad9d-f4d1080d95a2,AVAXUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:15,0.010416667,77.8,78.19,0.501285347,TRUE,78.19,77.4,7411.26,45.71950273,0.020350867,0.025706941,7411.26,-130.7705529,-26.75671883,FALSE,0
992,f912b945-8d7c-11ec-8152-f4d1080d95a2,YGGUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:15,0.010416667,2.944,2.959,0.50951087,TRUE,2.959,2.932,9442.8,27.06381016,0.020350867,0.033967391,9442.8,-130.7705529,-14.22565341,FALSE,0
978,ec1a602d-8d7c-11ec-b7e7-f4d1080d95a2,RNDRUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 12:45,0.114583333,2.623,2.64,0.648112848,TRUE,2.64,2.578,12655.61,46.43262456,0.020350867,0.07624857,12655.61,-130.7705529,-68.54003877,FALSE,0
997,06d32936-8d7d-11ec-8321-f4d1080d95a2,MBOXUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:15,0.010416667,2.808,2.827,0.676638177,TRUE,2.827,2.796,19541.7,48.19345401,0.020350867,0.106837607,19541.7,-130.7705529,23.02460891,FALSE,0
983,ef9b3a55-8d7c-11ec-89c3-f4d1080d95a2,MINAUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 10:45,0.03125,2.356,2.368,0.509337861,TRUE,2.368,2.351,20711.9,51.40536101,0.020350867,0.084889643,20711.9,-130.7705529,50.96973238,FALSE,0
985,f0c9113f-8d7c-11ec-8d3a-f4d1080d95a2,SYSUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 12:45,0.114583333,0.7832,0.788,0.612870276,TRUE,0.788,0.7689,20749,39.1041389,0.020350867,-0.102145046,20749,-130.7705529,-11.44151525,FALSE,0
973,e689860f-8d7c-11ec-85a2-f4d1080d95a2,DOTUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 11:30,0.0625,18.28,18.38,0.547045952,TRUE,18.38,18.21,23125.91,48.90389755,0.020350867,0.10940919,23125.91,-130.7705529,-36.32051668,FALSE,0
994,fd3df114-8d7c-11ec-be3b-f4d1080d95a2,LINKUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 11:30,0.0625,15.55,15.63,0.514469453,TRUE,15.63,15.48,27581.99,52.29197916,0.020350867,0,27581.99,-130.7705529,-26.45527027,FALSE,0
975,e9c17d8a-8d7c-11ec-b6b9-f4d1080d95a2,IOTAUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 11:00,0.041666667,0.8281,0.8326,0.543412631,TRUE,0.8326,0.8241,40068,42.25978365,0.020350867,0.012075836,40068,-130.7705529,-101.3726665,FALSE,0
970,e554c275-8d7c-11ec-9f00-f4d1080d95a2,FIOUSDT,rsi,15m,500,2/14/2022 10:00,2/14/2022 12:45,0.114583333,0.0981,0.0986,0.509683996,TRUE,0.0986,0.097,45541,50.11203584,0.020350867,-0.305810398,45541,-130.7705529,-35.27590523,FALSE,0
